courses,2011-1,2011-2,2011-3,2012-1,2012-2,2012-3,2013-1,2013-2,2013-3,2014-1,2014-2,2014-3,2015-1,2015-2,2015-3,2016-1,2016-2,2016-3,2017-1,2017-2,2017-3,2018-1,2018-2,2018-3
MAN   ,88,78,29,58,42,17,42,46,9,33,36,35,40,44,32,40,35,17,29,33,16,38,39,17
MIS,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17,10
AB PSYCHO,25,30,15,40,34,10,40,43,24,48,52,15,53,89,60,99,94,87,38,46,17,54,50,11
BSE,13,13,3,33,26,4,45,38,14,57,50,15,43,39,8,38,37,15,22,21,7,21,21,3
BSBus Mgt,66,60,17,57,60,12,54,50,17,60,62,24,73,71,26,61,62,20,37,36,27,30,31,6
BSBA,19,19,2,44,42,10,89,79,22,90,83,14,96,97,46,95,95,43,86,92,12,110,107,36
BSA,21,21,17,41,44,32,45,41,30,43,45,28,60,58,41,54,55,39,45,42,18,33,29,9
BSHRM,113,104,42,136,123,37,146,143,50,161,152,32,192,169,37,153,140,42,110,106,39,102,98,20
BSPharma,121,124,58,227,221,110,246,231,153,270,277,153,284,268,140,214,196,113,146,139,82,127,129,68
BSCoE,193,182,82,232,208,104,223,215,122,239,227,108,268,261,115,216,219,124,189,187,129,202,190,91
BSHSM,6,7,1,3,4,0,1,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BSCS,31,23,7,37,38,4,50,48,14,49,46,28,57,56,16,38,41,14,29,26,17,26,26,4
BSIT,444,425,194,463,434,149,459,430,145,433,415,166,435,406,153,320,301,164,268,246,126,219,211,67
BSMT(BMLS),251,232,80,303,273,83,328,303,100,410,389,166,483,475,263,482,448,226,418,355,186,437,427,102
BSN,1137,1110,462,784,739,260,560,533,170,388,392,185,416,426,270,380,388,237,351,354,155,548,559,110
BSPT,103,94,33,140,129,48,161,138,41,142,131,59,153,144,41,114,112,59,98,97,44,85,82,33
BSRT,244,231,35,276,265,78,302,283,44,302,273,43,291,282,63,234,241,20,199,194,22,209,181,38
BSRespT,53,58,23,81,78,23,104,107,24,110,117,46,187,195,83,196,201,99,203,221,77,241,252,53
BSTTM,na,na,na,30,31,11,55,50,22,74,71,24,99,102,29,81,77,21,68,61,26,84,84,15
BLIS,na,na,na,7,6,3,7,6,3,6,5,3,5,5,0,1,1,na,na,na,na,na,na,na
CT/CP,88,67,12,75,68,6,60,63,13,62,59,18,48,39,20,15,13,na,na,na,na,na,na,na
BioMed,41,44,22,45,42,20,44,39,18,51,63,32,70,63,36,78,77,40,57,54,9,26,23,8
DIT/MA,25,19,1,32,27,4,29,25,2,33,36,22,40,39,13,27,25,12,27,19,7,26,26,18
2D GAD,na,na,na,na,na,na,na,na,na,na,na,na,5,1,0,7,3,na,3,3,0,1,1,1
